"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.307526,6.327351122,8.809702778,17.18398967,-0.68853843,4.148839447,NA
-2.274885,5.689037493,10.04292353,18.48562192,-1.752762513,-3.59221613,NA
-2.235552,9.934980321,17.36626192,26.24649408,9.147633334,12.00143332,NA
-2.135045,22.02399633,36.9493969,20.36401906,9.949622022,15.99694618,NA
-2.032617,6.253895469,8.346171068,23.07573287,12.04143309,15.38629476,5.613705235
-1.926164,-1.790620878,-7.263371046,10.78436049,12.03140825,28.64863331,NA
-1.815809,-0.364270635,-10.37173211,12.3811831,11.90683713,14.44533215,8.554667852
-1.694682,-2.964828498,-8.949339975,19.04141876,12.03169541,13.23763658,8.097276835
-1.61978,-4.901386153,-11.51854494,12.4708322,11.86533163,12.7976098,9.830973117
-1.529608,-5.747351129,-11.85240858,16.45429014,12.57185955,13.53211832,9.855614764
-1.43737,-5.675878895,-13.61525841,19.98975594,11.80451378,12.1694182,11.44864232
-1.381889,-6.848513303,-14.31715028,21.57750226,12.21467063,12.87238929,12.34706858
-1.30407,-4.235446408,-10.95523962,22.58482383,9.67017922,12.48854301,14.75195818
-1.245917,-4.601577203,-10.37065235,20.54344676,10.16467902,12.96883902,12.15361527
-1.17291,-0.618557154,-9.720044344,20.89665018,10.43776797,12.06193863,10.39782953
-1.130068,-13.78826493,-10.8123186,9.84091583,11.87606261,12.67127423,11.49881594
-1.077225,13.58967309,12.6878279,33.98779925,11.46708322,13.22322362,11.59903785
-1.029429,22.29970031,19.60502678,27.4945204,17.71374742,20.88312493,18.76390792
-1.009903,26.74643368,26.49690491,20.67672865,15.46688238,24.64081091,23.48300208
-0.985002,30.34606596,31.70064303,19.17373435,19.68293653,24.78482256,24.88053012
-0.957023,37.45082736,43.3593634,23.84246387,23.48678122,31.94628241,24.61904893
-0.935311,42.40744925,48.07189245,20.69771436,26.56099579,36.03250543,24.51172477
-0.895343,46.89809741,50.18581547,19.77761721,31.68337081,49.3422098,50.0713895
-0.875088,47.5529669,53.11339583,22.45090521,24.94868788,35.76353759,40.01202572
-0.855707,44.07800673,49.65263641,24.07540992,21.91418256,30.90398794,37.33022807
-0.840552,49.35452619,51.80494827,21.02398526,26.08273065,39.90063512,45.81223706
-0.799669,46.45149723,52.59993763,24.42375118,27.82501686,40.15364895,34.91362938
-0.78137,45.61033196,46.58134763,22.74794898,27.19878332,39.44398862,34.21676269
-0.762135,54.5818127,57.4373084,31.15357306,35.40745222,49.988088,28.78644139
-0.74392,56.42927595,58.75045507,29.46786604,35.74420523,51.23864608,24.93872157
-0.730077,53.02144711,63.49312709,37.519265,36.21111327,51.60526163,25.8389485
-0.714631,40.50644975,38.7513289,20.44709884,32.65328597,46.79587646,36.106265
-0.699913,57.8295072,68.95772537,46.31645041,38.89958936,52.58863111,26.51955766
-0.683435,52.36285916,67.16749905,60.80210866,35.54456279,52.32392053,28.76060763
-0.668717,41.71192226,42.38426428,17.82630093,40.43319335,54.25782755,27.00858783
-0.653416,47.638936,44.7232118,34.77752244,34.35303185,49.70958492,32.87156117
-0.641467,51.3469473,56.65732196,33.9113779,38.77362299,53.49270482,29.20161104
-0.626453,45.01879561,35.69640467,24.16105132,30.82077623,47.84558207,35.88340993
-0.613776,42.61436375,45.0054984,33.50283723,35.67626614,53.53125926,34.33811611
-0.600369,31.57330212,34.45080121,23.42865361,33.74499639,49.13482332,36.86960991
-0.587546,35.07378708,42.38045223,32.09556707,39.64999497,56.68038834,30.17001365
-0.574723,40.37179044,37.58326909,21.93254701,31.5696871,46.90619877,51.72070776
-0.562482,43.37433096,49.66453486,32.71723444,24.67935573,36.52080653,38.19684945
-0.550242,39.30814135,41.69039784,20.9441928,25.70092059,43.86539794,55.84070536
-0.538293,37.59246023,41.06550633,17.1682411,18.92487144,19.85212924,26.60674045
-0.527851,36.8343721,42.62501715,23.61559886,4.99291373,10.31141264,23.85688386
-0.516922,33.12457137,33.09421925,26.9538307,10.50973383,12.14202808,27.02355897
