"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.805188372634995","2179.44122873208","0.536974690664233",NA,"<-lowestAIC"
"2","y ~ x ","-0.0265812942867723","-0.477441962746533","2185.29349351824","0.719177491103633","0.59793708913937",""
