"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.941773766184518","907.976332986878","2.96019032278848e-05",NA,""
"2","y ~ x ","-0.00623042839157885","-0.0544767414230042","340.182063609331","6.54594075098568e-132","1.32044315607657e-129","<-lowestAIC"
