"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"12.6299449034957","2485.81836590592","0.000200191209491562",NA,""
"2","y ~ x ","1.18167239857545","-2.73634599427419","2165.89356412773","7.08537629021429e-75","3.13530014777663e-73","<-lowestAIC"
