"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.018713318306996","-118.180756700881","0.621794662797671",NA,""
"2","y ~ x ","0.0006950838284267","-0.0975021246139508","-149.767617243942","9.93986877317668e-12","1.23770289753314e-12","<-lowestAIC"
