"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-4.52655774854635","2604.2783425733","0.246682570421516",NA,"<-lowestAIC"
"2","y ~ x ","0.000718647575974509","-4.58977100076201","2613.54544820371","0.509046148252565","0.926806608055736",""
"3","y ~ a/x + b, (a>=0)","35.1310019595587","-5.32568317220627","2615.85924565586","0.63581509331312","0.70607768442163",""
