"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.308527123574727","1448.67836376076","0.362175998361772",NA,"<-lowestAIC"
"2","y ~ x ","-0.00309863341357861","0.140527189435555","1449.17687466356","0.000657798136827965","0.000200873928968825",""
