"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.561209453426303","421.753248606707","6.86558052000208e-05",NA,""
"2","y ~ x ","-0.00393613237573977","-0.103691145024304","-222.84061988519","8.2053868606433e-149","6.99623954079382e-147","<-lowestAIC"
