"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.36518,14.25500346,18.64880217,16.41821901,1.656381138,-0.604392415,10.18057778
-2.260972,17.89837208,22.02664744,18.24658472,-2.290109453,-4.417135592,12.7584831
-2.15935,22.74107519,29.81624111,13.17155793,-3.549635687,-5.281872237,12.60850782
-2.050074,19.1655628,20.11461037,22.50892529,-2.859386506,-5.034962933,11.41211495
-1.921318,23.24724341,28.13376452,13.98760188,-2.212212064,-6.632922906,14.34601599
-1.797473,15.32930684,17.80039471,21.55748533,-1.915607793,-3.143846056,11.2527542
-1.675409,8.827528706,7.807538254,20.93946422,-1.781983979,-4.175815004,11.75415826
-1.555528,4.564590251,4.44098053,22.19501754,-1.363902618,-3.954782044,12.87372858
-1.444294,-2.526748358,-0.507988175,24.50684724,-0.609098783,-2.365425649,10.03547212
-1.374086,-10.26644162,-11.05442058,26.5230923,-1.453520714,-3.782745996,15.62981156
-1.336654,-13.93460618,-14.89756041,26.26151813,-3.201008953,-2.01902116,10.30136669
-1.28031,-8.725238719,-5.714297714,23.68833854,-3.86539969,-2.264263955,20.58073413
-1.235162,-14.37005056,-12.36797439,23.13895373,-0.48962468,6.293574817,24.2595438
-1.185646,-18.42236131,-17.43775499,25.98713425,-5.439717345,0.39377742,25.86775825
-1.155777,-17.05645676,-16.45355717,26.20244123,-2.212504831,2.080856635,18.78155156
-1.125025,-25.50597459,-25.33749781,31.05581323,-0.819883286,8.997008786,23.71058227
-1.054471,-13.57919768,-12.55217275,26.7534475,-10.16799557,-7.348773689,21.39430287
-1.030583,-17.17664004,-15.40092364,26.38135946,-10.239054,-4.870486568,22.18835933
-1.011068,-13.31526533,-12.68458699,28.25046743,-8.549202968,-0.774556569,27.4715858
-0.9873,-11.95068249,-11.15254735,23.18461673,-11.10482589,-8.464772987,20.98528877
-0.976309,-15.9125325,-13.84968646,27.17986087,-3.708992387,-5.034616363,22.28207237
-0.960805,-8.591930406,-2.91270558,24.00478015,-3.756062455,-4.446101107,23.55885341
-0.944557,-12.98080765,-11.25789047,31.62967334,-2.649017671,-3.872632002,21.83406945
-0.929751,-6.008467701,-0.935707411,26.97144378,-6.730635827,-6.883810623,24.66542326
-0.916414,-12.40947382,-6.143734275,30.72533801,-9.747834888,-9.960855648,27.77025089
-0.903223,-8.126368288,-5.891878045,33.74465037,-6.527799654,-5.989524584,26.17238195
-0.890928,-14.83321196,-10.76015039,35.52687954,-10.80143385,-9.955935314,26.81784705
-0.877977,-12.12353659,-9.548217468,35.14899967,-20.7602684,-23.71592248,28.98571076
-0.855368,-14.43305289,-10.53146823,38.32323206,-26.94452375,-32.32734007,31.32980054
-0.844478,-6.457919411,-5.75655702,36.5914546,-18.70473207,-13.61311414,27.00426578
