"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.312789,11.65778316,18.1488099,24.97192205,-0.663305483,-2.937886727,11.3729466
-2.289765,9.74352187,14.46928197,21.20160612,-2.175673341,-3.252838374,10.74716163
-2.26645,9.475617281,11.56130257,19.14042958,-0.125819131,0.263394918,11.26339492
-2.242552,11.02887414,15.56927818,22.2577467,1.291200972,-0.928124032,12.03152893
-2.173478,7.728077256,12.77938509,20.20672775,1.061541299,6.754932037,19.66566983
-2.110246,3.355060559,7.893452855,17.38936385,3.377673628,4.318327147,8.414799003
-2.083725,5.544674273,9.555962018,19.68387188,2.80302471,2.732084924,10.65352665
-1.996557,13.4791762,21.02067527,10.50196304,3.433077642,3.208013108,12.43748869
-1.894243,8.260857894,8.916291891,17.51607161,4.26325929,8.620807767,12.05632787
-1.793375,14.5822549,18.3078988,16.50943176,3.692199204,5.567758816,10.01566884
-1.668947,20.47660693,25.6572701,10.74142246,2.141317638,3.682514595,10.73338939
-1.557579,27.26757832,30.56903384,21.53085622,3.789965781,3.024689544,15.63031628
-1.436663,18.23984379,22.3157939,18.4137778,3.276447115,4.68807529,12.89586019
-1.333022,8.22656543,11.11373734,25.14802244,4.450999481,6.636871545,9.95933061
-1.2318,-0.39766154,-1.029213298,26.2874123,2.118271387,0.652634102,16.86804541
-1.125136,-14.43958101,-16.00040468,25.8387296,0.035846667,-2.088052671,19.10893732
-1.062493,-19.90530687,-21.21708033,24.86249205,-2.197780126,-4.691103739,21.35866017
-1.011346,-18.59829498,-18.86811665,25.47050441,2.131757915,1.227257071,18.32990105
-0.915817,-16.68809099,-15.6237198,28.12332951,4.129738147,6.659632595,16.86215835
-0.869011,-11.53410363,-11.68578765,28.53242961,3.985379874,7.326402053,18.05903118
-0.8261,-1.721213826,2.797140112,25.71206587,4.433579676,8.643388249,19.79001311
-0.77431,-5.826341294,-2.745310359,29.71887062,8.921660373,16.8672455,24.5541044
-0.745894,4.309717881,1.532538612,39.89241131,9.481060181,22.96354963,28.69715233
-0.727534,2.488756489,13.42186135,23.35821165,8.63648486,13.98028688,19.53228982
-0.708736,5.747784191,18.15436078,22.5631032,7.50581944,11.79290869,16.07424086
-0.69125,5.135740022,13.10226595,33.05624592,3.698272114,8.103862166,15.43747825
-0.674457,11.48858735,15.67791835,27.51215157,4.664445023,7.024731838,15.29303426
-0.659594,26.38028827,23.36592684,26.17831434,0.479180953,-1.372367031,24.81518319
-0.646333,29.35898938,32.85805718,24.63719446,3.919005096,9.140725065,18.80678355
-0.635113,33.98483411,43.22641784,30.12324941,3.885247012,5.455106228,34.54489377
-0.62331,29.68972247,39.07638289,34.85477697,1.362472599,3.439204086,30.50231211
-0.612381,32.48576606,39.62948339,32.78029443,-1.237686011,-3.801227869,33.68400301
-0.601597,32.5683734,45.42451163,37.19423709,0.757334247,0.681248876,23.27480573
-0.589503,27.38036121,28.04740124,25.35900085,-6.502943478,-5.743636171,23.16839284
