"time","bx","by","bz","mx","my","mz"
-2.24,-2285.500816,-999.414489,456.641038,1557.176072,-561.76244,742.881675
-2.232,-2273.469849,-997.145699,464.042168,1557.176072,-561.76244,742.881675
-2.224,-2247.408597,-993.013724,467.400325,1556.783119,-561.68916,744.920641
-2.216,-2191.728507,-984.401089,464.92427,1542.395812,-571.778096,747.876475
-2.208,-2164.572962,-980.131897,466.466615,1540.745249,-580.212615,750.210106
-2.2,-2155.173361,-978.53995,470.533016,1526.91015,-581.663372,754.887166
-2.192,-2145.858445,-977.016996,472.664092,1514.090421,-583.278631,755.492614
-2.184,-2133.213416,-974.885612,475.942855,1526.424665,-585.378217,769.720108
-2.176,-2120.75151,-972.891026,476.411713,1553.201401,-581.931946,774.988241
-2.168,-2104.994122,-970.342003,477.165709,1553.201401,-581.931946,774.988241
-2.16,-2090.609599,-964.084183,480.777593,1566.314565,-580.166003,778.66159
-2.152,-2071.322375,-960.685342,483.460074,1579.322543,-578.534183,778.096283
-2.144,-2055.162809,-958.041397,485.421335,1566.359862,-575.813736,780.558923
-2.136,-2042.03493,-955.858945,487.99261,1554.893202,-573.105206,783.164437
-2.128,-2030.807759,-950.131482,489.672765,1554.822883,-568.772255,785.064171
-2.12,-2001.241186,-945.392199,489.332724,1542.539767,-566.15459,785.469052
-2.112,-1972.929452,-937.083245,490.538427,1543.383951,-566.078322,787.657408
-2.104,-1958.732578,-932.788791,490.95685,1556.99056,-564.359619,789.310329
-2.096,-1923.763411,-925.324425,491.424743,1545.632365,-557.349269,793.787671
-2.088,-1905.474667,-920.343919,495.900174,1572.04752,-553.948358,794.926114
-2.08,-1884.288781,-916.862107,500.027516,1572.724665,-549.684188,794.779415
-2.072,-1843.820837,-906.175071,501.785429,1599.29343,-546.240249,795.92704
-2.064,-1826.620709,-896.916637,509.118632,1613.076487,-544.451007,797.608314
-2.056,-1813.394165,-888.354591,513.040087,1613.076487,-544.451007,797.608314
-2.048,-1803.849516,-880.406628,516.618937,1652.461937,-539.334099,796.014298
-2.04,-1787.619835,-873.330825,519.01704,1666.307966,-537.530655,797.713506
-2.032,-1768.312076,-867.765867,521.049463,1679.549265,-535.810765,797.181707
-2.024,-1755.608287,-861.228537,524.319359,1679.549265,-535.810765,797.181707
-2.016,-1744.313938,-859.125844,525.568515,1681.152238,-527.027107,799.134348
-2.008,-1724.605104,-853.404383,528.910032,1669.514817,-515.591323,803.542528
-2,-1701.330359,-849.283773,533.282939,1670.635047,-506.78024,807.567173
-1.992,-1677.933416,-845.128864,536.501626,1697.231169,-503.203426,806.53697
-1.984,-1638.757668,-838.468691,535.54778,1724.020887,-499.600464,805.499265
-1.976,-1578.840622,-828.237497,531.592907,1724.477199,-495.248172,805.358153
-1.968,-1550.162575,-823.256791,532.211951,1737.695426,-489.135698,802.44376
-1.96,-1524.414372,-816.385308,531.179715,1751.147201,-487.308323,801.918028
-1.952,-1494.590825,-810.978307,536.139868,1712.856298,-475.205647,805.186766
-1.944,-1481.098865,-806.261326,537.603001,1726.692845,-468.984515,804.525373
