"time","bx","by","bz","mx","my","mz"
-4.776,-1807.182171,-601.992723,450.174874,35.753193,86.338004,1114.531617
-4.768,-1781.25709,-595.818335,459.543807,43.252397,85.351771,1113.014732
-4.76,-1765.66546,-594.173518,489.389226,43.301453,85.361116,1111.298638
-4.752,-1739.360977,-585.802184,493.965819,43.301453,85.361116,1111.298638
-4.744,-1721.111781,-580.215058,499.96425,43.301453,85.361116,1111.298638
-4.736,-1696.876938,-572.302949,509.534039,43.301453,85.361116,1111.298638
-4.728,-1672.293051,-566.614732,519.238937,43.301453,85.361116,1111.298638
-4.72,-1644.535925,-557.44934,527.697511,43.301453,85.361116,1111.298638
-4.712,-1631.718846,-550.804546,537.57948,43.301453,85.361116,1111.298638
-4.704,-1600.1198,-538.139361,546.79176,49.272218,90.916832,1111.299257
-4.696,-1580.495897,-529.200213,560.300956,49.272218,90.916832,1111.299257
-4.688,-1566.574111,-522.330649,574.639701,49.221084,90.907011,1113.01793
-4.68,-1546.54954,-515.853595,583.878218,49.221084,90.907011,1113.01793
-4.672,-1525.714992,-509.211251,598.574575,56.694751,89.913639,1113.215178
-4.664,-1505.060587,-504.861515,611.429671,56.694751,89.913639,1113.215178
-4.656,-1484.123321,-500.125452,630.321161,56.694751,89.913639,1113.215178
-4.648,-1462.952904,-493.027121,648.17514,49.938423,87.620773,1113.114431
-4.64,-1441.827926,-486.132927,659.334131,43.252397,85.351771,1113.014732
-4.632,-1416.893728,-477.994884,672.526063,44.012334,82.085598,1113.111732
-4.624,-1384.51019,-469.949312,686.329905,44.012334,82.085598,1113.111732
-4.616,-1358.997501,-461.544751,700.061832,44.012334,82.085598,1113.111732
-4.608,-1347.77048,-455.270746,710.649659,44.012334,82.085598,1113.111732
-4.6,-1325.867083,-448.140684,716.805788,44.012334,82.085598,1113.111732
-4.592,-1296.272478,-438.458314,725.964216,44.012334,82.085598,1113.111732
-4.584,-1288.638984,-428.172503,738.272397,51.391821,81.068126,1115.026532
-4.576,-1271.855554,-422.889647,755.496963,51.391821,81.068126,1115.026532
-4.568,-1251.773708,-416.398466,770.352295,51.391821,81.068126,1115.026532
-4.56,-1220.543732,-406.161194,784.811116,51.391821,81.068126,1115.026532
-4.552,-1204.331818,-395.69149,797.882589,51.391821,81.068126,1115.026532
-4.544,-1187.83589,-387.614007,813.550332,51.391821,81.068126,1115.026532
-4.536,-1151.507473,-380.752777,832.390338,52.145677,77.795737,1115.123421
-4.528,-1142.776206,-377.673865,849.180457,52.145677,77.795737,1115.123421
-4.52,-1117.934227,-366.943055,861.168938,52.893956,74.521967,1115.220212
-4.512,-1092.773643,-358.689414,873.381807,52.961156,74.532912,1113.502601
-4.504,-1071.868025,-349.061401,886.272972,46.258788,72.27876,1113.402163
-4.496,-1050.99675,-339.477221,894.16797,54.386553,67.963148,1113.695323
-4.488,-1033.878091,-336.435024,905.092443,61.849418,66.933953,1113.893192
-4.48,-1029.577192,-334.850313,913.95444,62.525692,63.633199,1113.989096
-4.472,-1012.030028,-329.02059,926.002899,56.3899,58.015386,1112.483008
-4.464,-985.53433,-317.642903,937.569416,57.104342,54.733363,1112.578845
-4.456,-967.482641,-306.139916,953.331675,57.813185,51.450037,1112.674586
-4.448,-953.87622,-298.784148,966.967278,58.516426,48.165422,1112.770231
-4.44,-931.248694,-291.234053,979.259415,59.161358,44.86216,1112.864996
-4.432,-899.810112,-275.16395,994.02892,59.161358,44.86216,1112.864996
-4.424,-881.470112,-269.01167,1005.751802,59.85779,41.565547,1111.243055
-4.416,-872.336892,-263.021954,1018.946657,75.459363,36.12348,1111.726628
-4.408,-858.376763,-252.6307,1031.663043,61.930635,31.700767,1109.8125
-4.4,-844.372717,-242.151912,1045.849509,63.058848,25.015956,1108.495233
-4.392,-825.264267,-232.707309,1062.698377,56.955062,19.502121,1108.496301
-4.384,-806.53642,-223.464425,1076.118073,57.60263,16.209883,1108.590704
-4.376,-787.689693,-214.166049,1086.842892,65.65783,11.803534,1108.874095
-4.368,-782.86581,-206.629836,1098.642829,73.091323,10.687549,1109.063693
-4.36,-769.052259,-196.09229,1106.703407,66.29232,8.503938,1108.968392
-4.352,-764.532372,-188.659156,1116.061485,74.376531,4.07956,1107.53426
-4.344,-741.162434,-174.780548,1125.836122,68.079311,-1.433497,1107.533804
-4.336,-712.364126,-158.880121,1139.638373,68.69023,-4.737754,1107.627873
-4.328,-697.534703,-150.69506,1150.593526,69.154743,-8.123852,1106.210163
-4.32,-682.457844,-145.400849,1160.424337,69.775623,-11.429292,1104.58845
-4.312,-678.600414,-132.035438,1169.68627,78.548882,-19.137249,1106.475232
-4.304,-653.753698,-123.388149,1177.392986,71.661325,-21.302379,1106.382616
-4.296,-659.686392,-116.40875,1185.355662,58.564287,-28.901154,1106.292172
-4.288,-650.33944,-107.026504,1192.292986,52.34896,-34.325802,1108.00097
