"time","bx","by","bz","mx","my","mz"
-1.72,-1622.494086,163.884831,333.617169,1540.964762,-359.656475,751.608664
-1.712,-1589.732001,162.040367,332.739184,1553.688458,-357.546132,750.967359
-1.704,-1576.307915,159.858687,338.738007,1566.424319,-350.952738,752.22743
-1.696,-1556.044423,163.372175,352.275524,1566.424319,-350.952738,752.22743
-1.688,-1538.838015,162.467413,355.698795,1566.424319,-350.952738,752.22743
-1.68,-1504.153245,160.853567,364.368869,1566.424319,-350.952738,752.22743
-1.672,-1470.021955,161.826885,371.486505,1579.23862,-348.818577,751.585092
-1.664,-1438.192479,158.729155,376.149739,1579.23862,-348.818577,751.585092
-1.656,-1408.129434,160.354747,376.890891,1566.571928,-346.553344,752.083434
-1.648,-1366.100864,155.203088,375.920749,1578.945237,-344.335264,753.503035
-1.64,-1349.343836,159.563112,381.573054,1578.945237,-344.335264,753.503035
-1.632,-1325.376389,158.076055,387.7371,1578.945237,-344.335264,753.503035
-1.624,-1297.140056,158.527568,396.431447,1592.040942,-342.294622,750.806228
-1.616,-1263.857617,157.744892,398.744465,1591.638822,-337.945845,748.417532
-1.608,-1222.847991,150.896288,401.627168,1579.240227,-335.787185,746.866582
-1.6,-1192.358525,148.337454,405.881969,1578.918763,-331.462656,744.477994
-1.592,-1160.625457,143.164472,410.482939,1578.918763,-331.462656,744.477994
-1.584,-1136.852506,134.177714,414.477527,1604.559665,-327.124217,743.165275
-1.576,-1104.272245,129.080002,423.676895,1604.977791,-322.823292,740.959682
-1.568,-1076.520893,124.579248,430.147194,1617.919341,-320.625344,740.293022
-1.56,-1042.013782,116.315465,435.911195,1617.79642,-316.350232,735.826983
-1.552,-1019.184038,112.582535,441.833483,1644.101116,-312.003821,732.395973
-1.544,-985.176234,106.979473,446.957957,1630.866184,-305.51595,728.469749
-1.536,-962.211416,103.070381,449.09698,1630.800004,-301.089892,728.334391
-1.528,-928.559491,99.989376,451.333085,1604.665809,-296.804184,727.166923
-1.52,-906.101936,98.854419,453.578686,1592.068531,-290.287675,725.522963
-1.512,-864.527583,92.148552,460.05086,1591.603172,-290.357983,723.268761
-1.504,-811.661198,85.837632,459.215471,1578.777808,-288.189577,723.825585
-1.496,-779.932341,77.871354,463.923159,1591.825641,-281.602298,720.937916
-1.488,-748.044743,69.780587,467.432787,1579.284535,-279.551447,719.448295
-1.48,-727.871378,63.78862,473.469843,1552.79676,-271.042605,715.950547
-1.472,-702.278482,59.676841,480.447275,1565.643189,-268.869956,713.20401
-1.464,-669.117311,51.482592,488.368489,1565.116777,-264.53567,710.819444
-1.456,-642.941032,47.260139,495.525186,1565.366839,-260.228284,708.63577
-1.448,-603.562391,40.769443,502.955852,1552.357166,-253.891005,704.796259
-1.44,-582.573426,34.523819,509.691105,1538.554429,-247.552998,700.770411
-1.432,-549.175907,28.952302,515.070327,1538.593339,-243.259941,698.60618
-1.424,-528.94346,25.604197,518.941091,1563.243578,-234.314867,694.748019
-1.416,-508.307651,22.244502,524.193085,1563.444259,-230.002579,692.567633
-1.408,-480.731349,17.697646,530.177174,1511.359464,-221.976266,690.554238
-1.4,-453.191322,12.965194,531.810608,1498.667154,-215.858426,684.757402
-1.392,-431.259284,6.361039,537.245194,1485.703892,-209.50314,685.264325
-1.384,-409.459268,-0.391485,539.669139,1472.739564,-203.319193,681.51936
-1.376,-373.310518,-9.643472,542.425512,1484.871703,-201.104538,676.510393
-1.368,-343.764968,-17.616091,547.893469,1472.107846,-195.00855,670.769999
-1.36,-321.944462,-21.205392,553.799522,1459.209306,-188.918632,665.061427
-1.352,-271.293148,-30.164411,553.913131,1458.714246,-180.432942,660.825256
-1.344,-241.374687,-35.153298,560.697704,1433.513493,-176.719112,657.946898
-1.336,-225.733987,-40.870564,566.052912,1432.945248,-172.54024,653.610739
-1.328,-216.962513,-45.265777,573.249272,1444.792101,-165.873335,650.69765
-1.32,-186.661436,-50.424688,578.487254,1419.241126,-157.930194,647.753086
-1.312,-156.236501,-55.679436,582.322775,1406.282675,-151.745739,648.344258
-1.304,-132.850407,-59.572141,588.323881,1405.212357,-143.273228,643.918203
-1.296,-109.724441,-63.502039,593.189158,1392.263638,-137.210771,642.27977
-1.288,-93.887147,-66.091797,598.43651,1366.814506,-129.379172,639.402475
-1.28,-78.078458,-68.807883,600.162854,1377.721183,-118.405685,638.370566
-1.272,-69.171306,-73.409456,605.87172,1352.256635,-110.657553,635.520781
-1.264,-52.667365,-79.561172,607.967464,1363.448939,-103.913181,634.599059
-1.256,-36.027577,-85.583675,613.654819,1350.345707,-97.980767,633.001591
-1.248,-10.872828,-92.983847,623.060809,1349.103931,-89.372583,634.759099
-1.24,37.251206,-101.633043,624.586581,1323.615441,-81.711124,633.891982
