"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.9328858882333","889.194553458771","1.29485878835976e-05",NA,""
"2","y ~ x ","-0.00871064769055822","-0.0474095166553826","-109.773678501799","4.37986332825585e-226","1.47453396042562e-223","<-lowestAIC"
