"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"-0.48113392457961","209.784822654008","2.1536689418692e-05",NA,""
"2","y ~ x ","-0.00431281527043891","-0.0858689667283465","-304.762701641204","7.35738923103329e-121","2.1025674308872e-118","<-lowestAIC"
