"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-1.923315,-17.92260829,-21.61983523,23.01763915,-9.479318602,-18.11144555,8.764600252
-1.796183,-15.25068871,-19.40302268,22.21225378,-9.756263075,-12.24165638,13.41239337
-1.671871,-14.93984775,-19.37202136,23.72723809,-7.505112683,-10.24491025,10.85538156
-1.549269,-14.40500591,-16.5079587,22.57260186,-7.634716509,-7.742228501,8.784260502
-1.429268,-19.38169848,-22.93955065,29.14186493,-8.364536497,-6.513593569,7.012236884
-1.314271,-24.29341434,-31.9457746,27.48514254,-8.644258614,-8.19119304,8.972234756
-1.20353,-18.26347294,-24.01371217,22.05400507,-9.732696818,-10.01285722,10.14504689
-1.127579,-21.93954585,-25.9329522,28.17733907,-11.28975244,-12.69276754,14.88453111
-1.0937,-22.05916555,-25.27509183,24.41537828,-11.38240039,-10.81405766,10.92636331
-1.06583,-22.51979046,-25.11960264,25.52169935,-11.39001686,-10.56070382,11.51420074
-1.033137,-13.90049785,-15.84200478,26.45328301,-13.61314472,-11.61805268,12.43448626
-1.009927,-16.0239672,-14.67792774,20.45600602,-12.9639978,-11.50391321,11.73491751
-0.987131,-9.570683882,-12.23640075,25.51408466,-14.29713404,-11.66253607,13.35843409
-0.966284,-9.281929679,-5.429910995,22.75286857,-15.20104667,-12.02901437,12.22962
-0.945901,-7.135967818,-7.209507418,26.63797604,-15.22495007,-12.28261265,13.55200267
-0.928472,-5.51071409,-3.778930981,24.46888742,-15.56555437,-12.24043097,13.11747003
-0.913136,-10.47520153,-5.746334531,26.95621767,-15.67834929,-14.22222813,13.66056611
-0.896983,-4.78247768,-4.752560559,25.84542181,-15.83504979,-15.78248651,11.4850032
-0.882384,-10.50737548,-10.42292131,32.25037331,-20.76425029,-22.90783019,14.81935576
-0.867776,-10.17876277,-9.803181859,32.55565862,-24.35846862,-30.76692437,23.31367234
-0.854793,-7.382701992,-12.41611038,29.74625042,-32.11999803,-40.25405889,29.74609996
-0.841867,-14.57754669,-16.03991436,28.21590071,-30.57833056,-39.66878692,26.04162514
-0.830081,-15.18186573,-15.51461907,25.66558898,-26.13530306,-33.47652717,23.58996438
