"time","bx","by","bz","mx","my","mz"
-2.08,-1572.839252,-745.294593,296.585504,1797.367789,-227.592722,830.343492
-2.072,-1556.20102,-741.787497,299.978203,1797.117283,-223.166792,830.224764
-2.064,-1535.193515,-737.362781,304.906074,1796.018728,-218.840217,827.864368
-2.056,-1506.187635,-733.708452,309.672254,1795.854178,-209.975289,825.485166
-2.048,-1484.859817,-729.284106,312.352904,1808.679314,-207.583754,827.161763
-2.04,-1450.766937,-724.71957,318.994877,1863.91107,-197.956325,825.354769
-2.032,-1406.561931,-715.544648,328.358292,1849.722444,-186.810723,827.748329
-2.024,-1384.013254,-710.743214,334.833856,1917.989818,-174.611421,825.358025
-2.016,-1356.943965,-707.28131,346.815352,1903.092845,-163.561212,825.485657
-2.008,-1338.343998,-703.074213,357.988972,1858.264104,-144.162107,826.143394
-2,-1324.696756,-700.17229,360.320437,1829.109226,-131.287145,826.647977
-1.992,-1307.27755,-700.81104,373.079829,1827.013626,-117.900021,828.481376
-1.984,-1287.851342,-694.364555,379.657858,1798.663473,-109.59619,829.084772
-1.976,-1274.21801,-693.702492,388.511244,1783.762999,-94.276581,831.345171
-1.968,-1255.452754,-692.069587,400.480368,1794.942861,-78.41179,830.565888
-1.96,-1239.767594,-683.81128,407.896702,1779.673276,-67.69934,830.707823
-1.952,-1220.539128,-679.795438,413.602533,1793.503455,-60.43047,834.604368
-1.944,-1196.242393,-674.913462,417.364223,1806.473405,-48.6828,838.410602
-1.936,-1182.066089,-671.54609,425.083202,1707.764887,-27.483718,844.816284
-1.928,-1156.058192,-663.854503,434.063618,1705.620525,-14.365949,842.37202
-1.92,-1137.267885,-662.142924,441.332163,1717.441502,-2.825025,843.937286
-1.912,-1118.864576,-654.352472,458.577838,1729.935698,4.393898,845.614701
-1.904,-1092.957292,-649.435585,460.18313,1729.935698,4.393898,845.614701
-1.896,-1066.889225,-644.276571,465.734076,1714.287737,14.813991,845.736832
-1.888,-1018.546547,-637.713357,476.707744,1657.859183,30.078172,848.940864
-1.88,-980.667745,-630.258176,485.089366,1668.450023,41.503587,848.328557
-1.872,-946.737385,-620.906411,495.602035,1693.716369,47.028946,847.493426
-1.864,-893.707618,-615.023158,511.70196,1691.695038,55.718712,847.297345
-1.856,-863.668655,-606.637622,520.675003,1662.775697,63.223231,852.103001
-1.848,-857.110797,-605.520805,524.277159,1659.888178,71.747312,849.736791
-1.84,-834.066702,-601.153097,525.833369,1604.446108,86.429991,848.677629
-1.832,-816.962568,-597.419091,534.771264,1601.066522,99.317158,848.399873
-1.824,-782.352105,-590.408033,541.864803,1625.689744,104.981321,847.578646
-1.816,-735.175561,-581.175795,546.477031,1608.823096,114.86952,847.683771
-1.808,-722.959388,-575.430776,557.600161,1607.695152,119.177412,847.591818
-1.8,-704.609395,-571.406702,571.233272,1618.688304,126.318572,847.094671
-1.792,-674.272564,-568.230204,579.692552,1591.789393,129.162122,847.734895
-1.784,-637.556707,-561.13382,580.326074,1562.769167,136.095105,848.257678
-1.776,-612.829377,-553.039854,586.203198,1534.154397,142.973347,846.67984
-1.768,-570.15102,-544.112872,593.19607,1520.100862,144.204913,844.879579
-1.76,-550.338829,-534.252971,595.503238,1506.343318,149.653719,838.785602
-1.752,-498.240667,-517.795063,602.152627,1504.265091,153.746364,836.587855
-1.744,-491.413963,-513.339036,604.38269,1517.058486,161.129842,838.210667
-1.736,-465.249077,-508.163034,604.964442,1489.216641,163.521417,834.660387
-1.728,-424.974057,-493.85941,610.095047,1486.903229,167.467652,828.260611
-1.72,-391.592491,-483.897062,612.902385,1460.082362,169.953787,826.867324
-1.712,-371.462525,-479.843774,612.59524,1432.805226,176.60586,823.31841
-1.704,-351.193206,-475.758764,612.28701,1407.161431,179.196978,824.037745
-1.696,-330.550669,-471.595972,613.582327,1406.956651,179.067041,819.875065
-1.688,-316.919406,-465.536619,615.162246,1393.998348,180.226256,816.085662
-1.68,-323.521784,-463.666384,617.162676,1397.19866,176.113726,809.91595
-1.672,-262.613685,-451.238228,608.185412,1371.896736,178.684418,810.678366
-1.664,-220.090749,-442.461301,612.198036,1374.479484,174.540189,804.54885
-1.656,-190.952087,-430.091259,612.642661,1387.90997,173.227943,800.014798
-1.648,-148.016361,-417.930694,610.137958,1400.957173,171.914285,797.540536
