"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.22664,13.65994699,23.02800025,30.79399618,10.41608229,10.26622617,11.73377383
-2.132511,5.212296012,4.077427332,27.92146286,10.36235181,11.00701466,12.95524483
-2.032638,6.539541717,6.874427436,30.30834134,9.687930217,9.341521308,13.65847869
-1.92696,8.282892842,8.257194433,25.97982595,9.08215294,14.78181602,16.16229918
-1.848365,12.91967051,14.04345199,20.97208432,6.367565422,6.022616493,15.07426167
-1.791243,15.33903016,17.97234747,23.37757877,6.683927773,7.022125983,14.25685662
-1.71676,15.19170341,17.76545492,20.21446812,3.703576496,2.511853725,19.41735453
-1.64831,18.58989999,22.89721463,20.92159539,8.622584206,8.675979455,19.81160884
-1.577209,17.33277975,20.41894775,17.59941902,2.201803395,2.42756699,21.59700791
-1.528976,16.9258777,19.02401905,19.10239754,2.897451027,3.037203383,22.91321211
-1.493299,17.52474525,19.55504252,20.76469147,5.723524904,4.21914465,21.05176853
-1.45789,17.24003418,19.23574487,19.16635427,5.702524422,7.900601883,18.70986199
-1.406292,8.441429495,9.636508768,24.90109721,8.444055923,13.10872592,15.84430195
-1.371902,-8.686779469,-8.286912699,24.39818856,13.24963011,20.55650809,17.00672763
-1.325654,-19.69317858,-21.64647797,23.62324496,11.03469281,24.09758537,18.26490056
-1.291701,-28.81810543,-33.84317417,23.59378973,13.00684526,24.8078751,18.86487813
-1.246374,-31.02260538,-37.20800377,25.00896466,15.64568378,19.84469604,20.60062121
-1.222621,-26.10099953,-33.67287658,29.22191486,13.96069859,17.86283793,24.17988917
-1.198578,-29.70955867,-35.24321714,26.41993043,18.55361611,25.52755423,24.48435634
-1.180946,-31.8085338,-39.37535176,23.3910512,13.25225632,19.50059041,22.89200398
-1.159189,-30.26107414,-36.43248168,25.07424196,14.56655079,21.94303525,17.83636413
-1.136894,-22.67206537,-22.5913072,23.71061833,10.59005886,10.25040716,17.9225025
-1.112558,-19.95869284,-22.53361842,21.47508216,17.24225993,16.45576272,15.78208983
-1.057052,6.041450675,5.133523156,28.26310397,8.42457659,10.00403305,18.02656035
-1.037088,19.81927591,28.58001488,30.71037815,13.22901524,13.60301015,16.37181405
-1.021642,13.17495708,14.46203015,26.17370217,2.344820447,5.359930723,21.27476275
-1.005467,15.86775921,17.98310219,24.96989111,2.377941896,-1.382221309,33.52873709
-0.987689,25.38051089,26.27983326,21.90813603,2.11042382,-0.270483164,47.63194054
-0.969183,33.03820932,34.84594847,22.46128196,-18.19418591,-21.74970314,32.91418076
-0.952333,41.20068145,48.17725657,26.9779713,-4.31385883,-3.847568984,45.72336344
-0.910097,51.58213641,57.96885419,30.71199515,-14.74625093,-16.25736471,33.51753178
-0.893631,51.16509608,58.38397798,31.9849206,-33.405393,-31.65131886,53.0542897
-0.878185,63.54461689,63.55079822,34.33423486,-29.81637654,-34.46527518,26.62178264
-0.86507,81.87136653,80.54053639,35.66460482,-32.01636192,-33.93255443,22.6614778
-0.851372,84.87983525,87.95678487,57.55772193,-33.23714995,-33.95169766,20.28845304
-0.837966,102.223061,97.39589618,42.85821643,-29.91138726,-30.93488837,20.7367437
-0.825143,90.66530672,103.1831344,32.0630839,-20.66548011,-23.85190455,27.1351423
-0.813295,95.1024303,108.1619244,29.69328712,-23.54344447,-25.70742228,29.4636558
-0.801346,108.1026179,108.0959854,30.56989438,-23.66580558,-24.27557165,29.11618017
-0.791145,114.4265647,111.9720927,25.30952808,-22.43016506,-22.52697297,31.50711547
-0.780799,103.9453155,107.2226604,29.22452504,-18.0233096,-20.77409229,32.57708659
-0.769579,108.3390156,110.8073152,25.81980605,-9.291163733,-6.983603785,20.35805101
