"time","bx","by","bz","mx","my","mz"
-2.16,-2197.161634,-755.863079,318.906613,1285.100191,-288.373211,850.747745
-2.152,-2171.615167,-756.204243,318.531922,1297.027752,-273.622511,849.705484
-2.144,-2138.658145,-754.814721,320.002611,1274.73688,-264.848274,855.820402
-2.136,-2113.2454,-756.842679,322.601792,1274.67952,-256.219473,859.394159
-2.128,-2103.97606,-758.550276,327.406731,1286.34485,-241.427868,858.369701
-2.12,-2080.918127,-759.319994,331.969691,1286.238209,-232.773529,861.94874
-2.112,-2057.510003,-759.81851,339.74278,1263.933835,-224.3282,863.990537
-2.104,-2028.09991,-762.992467,342.620298,1263.655874,-215.718106,867.559979
-2.096,-1990.556335,-764.893071,346.977173,1229.600652,-205.461308,867.634627
-2.088,-1966.886448,-767.518919,356.08595,1217.366921,-195.010019,869.249526
-2.08,-1951.180022,-763.672426,362.10879,1194.849461,-186.880045,869.220859
-2.072,-1922.208241,-763.282101,370.63211,1184.382332,-176.368657,872.917951
-2.064,-1890.483548,-766.823499,382.861261,1172.753188,-165.906959,876.530648
-2.056,-1859.351973,-772.547882,390.078305,1171.925642,-161.670226,878.258188
-2.048,-1834.198046,-775.632019,395.165217,1159.730734,-155.520463,880.069712
-2.04,-1807.741728,-776.185307,402.355852,1137.575493,-143.14294,885.736593
-2.032,-1759.69079,-772.685059,405.051085,1104.015763,-133.215777,889.654234
-2.024,-1722.117687,-777.976865,413.525038,1070.232751,-127.371872,895.671855
-2.016,-1703.028072,-780.734705,417.930158,1070.354122,-122.980521,901.339411
-2.008,-1686.404671,-778.970229,425.78999,1048.421555,-119.118533,905.31884
-2,-1648.969195,-778.193572,429.885371,1048.912373,-119.005478,907.294179
-1.992,-1619.896621,-779.439193,433.247633,1048.690174,-118.81399,911.183786
-1.984,-1576.625881,-777.953475,435.665091,1027.649653,-115.067414,913.210025
-1.976,-1553.912726,-775.464524,448.945426,1037.463223,-112.730063,914.877327
-1.968,-1537.976089,-778.926253,457.980848,983.151956,-103.47847,920.736502
-1.96,-1512.261104,-780.177367,474.518175,961.241114,-99.838406,922.653178
-1.952,-1454.65813,-780.832353,473.694952,951.197436,-97.94867,924.608174
-1.944,-1440.579132,-780.278136,483.590438,919.114726,-92.59649,926.507787
-1.936,-1389.731394,-780.427097,487.423522,908.48447,-90.658151,930.318437
-1.928,-1357.446983,-781.581242,489.591725,898.665094,-88.808179,932.245296
-1.92,-1338.000399,-780.042576,496.081319,878.104282,-89.130585,936.236357
-1.912,-1314.336992,-780.481668,498.234267,847.973027,-87.615871,942.099668
-1.904,-1270.148543,-779.639105,506.060792,838.19525,-85.772534,943.991077
-1.896,-1240.283171,-778.836302,514.330316,808.617749,-92.261958,948.303194
-1.888,-1198.8526,-776.256469,523.04566,798.118133,-94.212898,954.06293
-1.88,-1167.407791,-772.582536,529.652307,788.383473,-96.424779,954.236253
-1.872,-1128.326002,-765.318368,537.318561,779.090338,-98.5162,956.305631
-1.864,-1100.26646,-759.91876,543.475069,760.130401,-102.796948,958.536988
-1.856,-1080.998712,-750.328844,558.828368,759.904067,-106.635503,960.572979
-1.848,-1063.872935,-746.730363,567.881003,741.389311,-110.768809,964.674579
-1.84,-1039.704605,-739.233636,577.614646,712.574259,-117.070922,968.833956
-1.832,-1004.894545,-732.567721,585.033376,713.435638,-120.71102,972.807603
-1.824,-977.190265,-729.231453,597.064282,694.507812,-124.708381,978.653182
-1.816,-935.456035,-721.364467,605.65536,684.411363,-126.594538,984.258708
-1.808,-905.142794,-716.114529,605.781089,665.266298,-130.474265,991.833322
-1.8,-867.497104,-706.31253,612.07542,664.821154,-134.094127,997.494048
-1.792,-835.950557,-697.21819,620.171804,654.586895,-135.77902,1006.691517
-1.784,-803.708736,-688.184656,628.776727,634.711692,-139.671662,1014.076317
-1.776,-795.701963,-680.408174,637.711761,624.31815,-137.498435,1022.988125
-1.768,-782.288415,-674.528104,646.369254,614.702711,-139.237745,1030.309317
-1.76,-780.510433,-667.770482,657.433281,613.941204,-138.996129,1035.703327
-1.752,-749.273217,-661.194968,669.123993,603.805042,-137.029636,1040.929468
-1.744,-724.24969,-655.734603,679.90904,594.937565,-138.80924,1046.433826
-1.736,-691.196048,-646.214946,688.91292,585.414602,-140.539997,1053.680977
-1.728,-665.247866,-641.018388,695.791861,558.54379,-146.160383,1064.61397
-1.72,-652.421199,-638.195577,702.120161,549.569791,-151.537426,1073.836345
-1.712,-630.841039,-627.639219,713.672237,548.459347,-155.047327,1081.114945
-1.704,-582.990711,-615.717973,717.958958,548.854799,-154.923033,1082.95348
-1.696,-573.021165,-601.349691,725.606768,549.146261,-162.015283,1092.373233
-1.688,-532.504925,-593.079778,736.567195,530.137399,-166.155286,1092.213481
-1.68,-498.190719,-586.198216,745.268697,503.388052,-171.924322,1097.504508
-1.672,-477.459621,-582.044073,750.257256,494.778087,-173.818984,1099.292312
-1.664,-456.797163,-577.523403,759.589355,493.801793,-177.481597,1102.945378
-1.656,-436.439642,-572.657767,773.329619,483.623362,-182.969475,1110.083569
-1.648,-428.883575,-563.783634,788.963916,474.592837,-188.52443,1113.76775
-1.64,-393.488469,-553.166366,799.084039,465.635187,-194.077862,1117.442768
-1.632,-385.468249,-548.302676,803.235017,456.599212,-195.877516,1120.900399
-1.624,-363.549174,-540.451777,811.277268,464.781504,-201.178351,1126.619409
-1.616,-327.731524,-533.103035,818.918965,456.400263,-206.761119,1128.564789
-1.608,-312.70366,-526.495486,827.43193,438.748916,-217.646813,1137.648215
-1.6,-283.21348,-520.611435,832.581543,446.771295,-222.945041,1143.365168
-1.592,-267.758622,-514.041368,839.700784,429.329369,-230.22717,1148.682562
-1.584,-274.766705,-511.629106,847.594969,437.272154,-239.260239,1154.605279
-1.576,-252.710161,-506.563503,860.988799,428.17209,-244.726284,1158.191892
-1.568,-238.812826,-502.873582,874.43259,418.961796,-253.880994,1161.967451
-1.56,-201.058168,-494.812118,889.34896,391.888782,-263.179989,1163.452057
-1.552,-200.111421,-487.400704,900.013189,374.112544,-274.313968,1163.585452
-1.544,-172.119399,-487.69285,910.443477,356.157149,-285.19115,1167.176363
-1.536,-149.618317,-482.567713,922.631357,381.484289,-301.758805,1170.583539
-1.528,-119.058068,-476.030674,933.19481,372.704301,-311.016131,1169.168281
-1.52,-96.076069,-471.001021,942.343155,372.716921,-322.03192,1169.902221
-1.512,-72.996247,-465.947573,951.564681,363.49571,-334.962219,1168.689304
-1.504,-65.14845,-460.335203,962.514448,371.394507,-348.032396,1167.951325
-1.496,-64.165973,-456.018372,977.180971,351.58555,-370.264426,1163.370907
-1.488,-56.644187,-453.739293,990.066903,324.968854,-375.522188,1161.17044
-1.48,-49.819958,-451.594536,1001.12175,348.991847,-392.865865,1155.794184
-1.472,-34.956203,-447.799862,1013.830046,364.430945,-408.102482,1153.528925
-1.464,-28.274318,-449.080527,1025.292314,355.315914,-417.261129,1150.486535
-1.456,-5.751195,-447.1166,1039.963473,335.483776,-432.0193,1143.746507
-1.448,17.357046,-448.884359,1050.236824,315.880186,-446.562693,1138.844382
-1.44,32.335322,-448.839479,1058.529395,331.443302,-465.941858,1128.342812
