"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.637674,6.157424684,7.213506481,15.82930752,-0.64624514,-2.526484046,9.079380988
-2.618876,9.974880731,11.95786706,13.41773363,-1.155324693,-0.810804032,7.518804519
-2.599495,7.553898271,8.245432679,13.11110259,0.324638321,-0.776644441,7.654374908
-2.578731,9.106140157,13.4511935,15.8863771,0.950823156,0.462173836,8.358739192
-2.537056,7.026539739,8.50623076,17.59885995,2.884990912,3.19285986,10.08861085
-2.519423,5.708390213,5.732977674,14.74119595,1.85378108,2.18236873,8.233642795
-2.495817,6.231134521,10.10277066,18.54082623,-0.143986231,-0.036690542,8.963309458
-2.449386,2.889305186,4.125088062,19.07835771,2.511315384,2.31328596,10.31328596
-2.428694,4.233742935,3.323665187,16.88083387,0.599161852,0.274537254,9.274537254
-2.407419,3.568193166,1.653713978,15.43488162,1.281340571,0.868102346,8.325062447
-2.348854,1.758500053,1.063644436,15.10715766,1.523296212,1.585545979,8.544591599
-2.325976,3.314769681,0.776311777,18.16044183,2.403242029,1.492121423,8.478167333
-2.250132,3.433577324,3.199677159,16.43011238,2.128754303,-0.253881885,10.00113033
-2.16326,2.317305832,3.618216325,18.64841551,0.216254359,-7.176330283,15.66839032
-2.075011,4.478690692,4.635188503,17.29467757,4.165327075,4.82751404,5.595440401
-1.977578,5.969164773,4.929962258,17.80436449,3.566369069,2.222812072,11.72651849
-1.87491,12.74428545,18.36547226,33.22674839,3.974618586,3.315916767,13.85951731
-1.779648,21.60110578,28.49264659,22.52390204,1.863312458,1.589418081,16.90865247
-1.673388,20.05468973,20.64161691,16.82012836,1.081600583,6.82844123,11.91055988
-1.597485,10.84117341,10.59516901,26.70851213,-2.354100895,-3.926221473,25.04502463
-1.571693,9.630289886,8.013170717,21.02385321,-4.685445903,-4.358114239,30.35811424
-1.521577,12.87235789,16.5018976,24.30087052,-5.308729495,-12.25981167,20.79508514
-1.488499,7.85724554,6.583159225,21.18611391,-3.493174654,-10.13372851,16.74375242
-1.466787,2.857512346,-7.507741056,37.36889616,-17.15541272,-21.44565506,24.13969609
-1.446386,-5.511097781,-10.85644546,35.58206981,-8.034897882,-10.14681195,16.32279213
-1.427985,-10.53581198,-16.28573477,18.69886219,-15.35618088,-19.70795423,22.0619391
-1.409624,-12.33832217,-19.71278923,41.26119014,-11.79553542,-12.02837365,17.52612443
-1.389806,-13.39549129,-22.90997302,36.22153543,-4.601169346,-5.773255147,11.62026283
-1.364743,-22.29595556,-35.79455296,24.02300328,-7.407478904,-13.08669787,18.76237107
-1.326414,-27.47362318,-39.62698092,24.9646934,-14.47324164,-17.61587208,20.01024581
-1.2636,-24.36844656,-43.60812737,21.54418032,-21.60762718,-27.96146707,27.9083903
-1.235331,-11.42087421,-29.1059546,33.14062047,-24.94758186,-31.01591009,20.90526476
-1.192489,-11.1733284,-28.62204773,34.77992894,-20.80684349,-27.95571931,21.55981561
-1.099565,-0.465890212,-3.193879262,29.35677246,-15.94422621,-21.91225807,23.95062815
-1.038831,4.092060277,5.743538223,24.44414028,-14.80503901,-17.96203582,25.26159826
-1.002402,13.58152503,12.38766321,26.78803075,-14.90218656,-18.48257253,20.96711689
-0.915709,13.64468296,13.691933,27.09539033,-8.473257984,-8.431293051,19.62318892
-0.862851,6.053580335,7.563631377,30.15634969,-4.911975416,2.188637782,22.04234682
-0.830501,18.61574714,16.41644057,23.93706933,-5.299936021,2.644941372,18.75829845
-0.780821,18.03288583,18.1342606,33.57249525,0.016949827,13.50878583,30.2769373
-0.74818,18.79737889,21.24982852,33.83733303,-0.251105401,12.6489555,31.3510445
-0.709697,14.06140381,12.72705544,38.21402129,-4.307126993,0.038410075,27.96158993
-0.691337,10.77696781,11.0919954,45.90839414,-11.09206961,-7.684954819,37.05501894
-0.67079,4.564933325,-1.248310475,33.83778629,-22.64355,-26.20987611,28.27100041
-0.65447,0.696233542,-8.419555377,30.35308473,-23.51662633,-27.11644586,27.83194402
-0.639023,-14.92071211,-11.88425864,30.05946879,-18.6977027,-27.43815236,29.45733539
-0.62416,-24.19380218,-25.21236902,16.67806526,-20.1749784,-32.54737657,39.46382045
-0.610089,-14.66963791,-14.37684445,29.64093316,-10.35503625,-15.06728334,23.82193984
-0.550053,-22.25343756,-29.44680043,19.43737071,-13.51277041,-17.66309272,22.87449117
-0.535918,-33.18620894,-49.41379999,52.2487151,-15.11846794,-18.08937158,33.20429537
