"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.476187,11.14091233,14.19972549,22.80603226,1.916108821,1.60869133,9.26332999
-2.398792,7.200501398,11.81249377,27.94110598,0.778825357,0.220785392,7.519933486
-2.316061,10.96717412,19.80196559,29.42594699,2.398834593,7.742457206,14.43729161
-2.233677,14.59520317,24.29217686,19.77243824,9.129459689,9.754935253,9.245064747
-2.143341,15.07464749,25.21113617,21.58605564,10.33071443,12.23006128,9.232700283
-2.053533,9.719636998,15.70809886,29.92882129,11.0995886,14.83465116,10.16534884
-1.967648,17.08417883,25.93173578,24.06826422,11.54808305,15.26315507,9.736844932
-1.883283,11.98698508,19.53582149,16.67246771,10.67764566,10.35089084,9.649109163
-1.798979,5.059390342,9.466266723,11.80299411,9.880578135,10.84159324,7.274063995
-1.726322,6.680472792,14.2710603,15.98465018,8.201088689,13.95644982,4.154275511
-1.695866,11.66699078,25.68109738,23.40503139,5.878856592,5.422104906,11.71355706
-1.599027,8.129489794,13.30070982,26.69929018,1.098757987,1.97158494,17.34553123
-1.529718,2.610558721,7.636443763,20.18778213,-0.695843262,1.956272661,21.20805749
-1.48163,3.729036862,8.488815447,17.03092269,0.824079436,2.185771623,9.702403992
-1.413432,2.84545277,7.300987737,15.80988888,-3.772739607,-6.14629741,17.16184216
-1.386765,6.374482931,8.671153609,16.71786647,-5.999802324,-9.694345201,19.74192544
-1.32331,1.965763594,6.941994918,17.81265096,-7.622884215,-12.97896285,22.36369412
-1.289649,6.485556734,8.446143991,17.26714797,-7.394348086,-9.720863304,15.74498346
-1.235371,3.38127923,7.339976874,21.36875131,-11.35378297,-16.42292576,19.9659817
-1.199378,-8.807091755,-12.74312012,24.13959458,-10.77060908,-16.47145486,24.68474551
-1.145759,-8.683351029,-3.988851483,23.98885148,-16.08624151,-20.82051264,19.95397272
-1.106269,-11.15689112,-12.36011079,24.28708022,-15.9212599,-19.70203547,18.37130273
-1.049572,-27.31603772,-31.88434751,38.17903224,-24.98470503,-33.05015398,29.44498615
-1.018534,-36.06090982,-51.30151209,30.75288425,-25.98301879,-29.05891037,30.94108963
-0.959881,-39.51770721,-54.39825494,29.58968323,-27.37826654,-34.50970841,26.24556063
-0.92724,-42.70436241,-57.28074778,19.17074571,-20.58333192,-25.72200535,34.13624895
-0.874514,-39.11359346,-53.99090906,27.7953063,-27.99417396,-33.97530191,24.14356599
-0.840852,-30.54358936,-35.70471056,34.54173822,-23.37349602,-30.42222027,26.47633223
-0.814811,-36.01641783,-41.2416347,43.88703679,-26.24091912,-32.45518118,24.80504151
-0.79237,-35.00591378,-41.89502082,35.16846821,-27.09832992,-33.39103758,28.38529163
-0.766723,-39.58176286,-41.08503702,35.96931441,-22.86282882,-29.6884594,26.67242921
-0.746906,-37.95378545,-41.07728215,32.6964715,-20.35172985,-22.14613344,20.0078289
-0.729516,-35.93097536,-44.00608398,29.18909125,-24.37854781,-24.54820263,21.87999314
-0.712029,-37.62940887,-43.02653075,32.21397287,-23.11505997,-25.77826496,23.60425352
-0.695126,-39.03347303,-44.82723079,29.31112438,-18.38701122,-21.44538841,18.84531006
-0.680846,-47.43324587,-48.5800703,30.51717854,-24.36857858,-31.2181464,26.76793007
-0.667439,-51.94599695,-55.52795455,30.26580043,-45.10149798,-51.94048971,38.1882391
-0.655199,-51.00946461,-64.46610804,34.19438095,-35.97743774,-41.84103386,34.5840636
-0.643396,-49.26612324,-54.0304456,27.92057402,-25.23262083,-37.44457973,45.16953329
-0.629202,-30.81069204,-34.21266091,39.2200067,18.45171523,30.68473562,41.10565129
