"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"63.6704009913128","3108.08144242448","2.50906154598809e-08",NA,""
"2","y ~ x ","-10.3552596017582","76.6718290597791","2963.99530289674","6.85964919816375e-39","2.50278898002278e-33",""
"3","y ~ a/x + b, (a>=0)","11.1125234697418","47.7060495531865","2808.9357666503","2.73316206032289e-71","1.50330609505153e-65","<-lowestAIC"
