"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"26.2556120930377","2835.45809588058","4.26625087475781e-07",NA,""
"2","y ~ x ","-9.20848711122845","37.0062744408544","2713.95871571685","8.335634575485e-33","2.13000571671259e-28",""
"3","y ~ a/x + b, (a>=0)","14.9181897434395","4.47561729783015","2481.97264983276","1.53593306951561e-81","5.31259419349254e-77","<-lowestAIC"
