"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"103.093352833216","4208.7468178599","1.87081357856023e-05",NA,""
"2","y ~ x ","-44.18068386496","157.596565525816","4099.65431002721","6.28334107893536e-28","4.55973333055562e-25",""
"3","y ~ a/x + b, (a>=0)","56.8801709946716","19.9786542523951","4029.79636136624","1.94336633644803e-43","2.33796767702656e-40","<-lowestAIC"
