"time","bx","by","bz","mx","my","mz"
-1.76,-1437.22946,-945.959043,193.574454,1699.132023,-254.231769,569.790841
-1.752,-1413.911983,-955.655674,200.75416,1712.03097,-247.338848,568.668074
-1.744,-1381.836555,-957.067729,207.742567,1724.985573,-244.861895,567.703963
-1.736,-1345.830569,-960.24984,214.463759,1725.170968,-240.380695,567.526665
-1.728,-1334.154418,-960.163374,227.930341,1725.245328,-235.918861,567.357562
-1.72,-1288.611187,-957.479984,235.696806,1724.544638,-236.048262,564.914649
-1.712,-1258.040418,-959.231198,244.683971,1736.791023,-229.064401,565.778672
-1.704,-1227.137338,-961.29779,251.015039,1789.912026,-218.967604,559.856445
-1.696,-1200.454283,-968.3861,265.811305,1803.216103,-211.893175,558.694242
-1.688,-1164.544844,-972.681196,275.857277,1843.206324,-204.138545,555.699168
-1.68,-1123.214011,-973.36046,289.648145,1855.829054,-197.010496,556.567386
-1.672,-1105.079536,-967.800259,299.964399,1896.562411,-184.548254,553.360193
-1.664,-1059.280597,-972.885949,311.802665,1896.670629,-179.955694,553.183144
-1.656,-1040.493113,-966.595861,328.574161,1895.807876,-175.365124,555.068873
-1.648,-1000.779343,-968.118674,342.33847,1897.625884,-166.219517,550.613968
-1.64,-977.893918,-966.798436,355.763609,1912.163571,-163.512016,547.527944
-1.632,-946.381134,-967.230606,361.081673,1912.183011,-154.328423,547.188574
-1.624,-922.468528,-963.809583,368.24321,1912.16127,-145.145724,546.852039
-1.616,-916.639666,-959.760306,380.98491,1897.670646,-138.707441,549.596121
-1.608,-875.277883,-963.918621,392.307671,1882.458575,-132.635562,545.278722
-1.6,-846.037352,-961.885043,405.61243,1881.380901,-123.647133,542.456312
-1.592,-807.934932,-964.03192,414.300996,1867.850477,-117.412994,538.611287
-1.584,-767.468499,-960.619545,428.863312,1800.902626,-117.74154,538.774179
-1.576,-732.748285,-963.296725,443.959968,1788.506343,-111.434758,537.448372
-1.568,-717.100796,-963.35007,458.736824,1759.473904,-108.41887,531.813577
-1.56,-686.459932,-964.316087,467.52348,1746.291913,-102.316909,528.061008
-1.552,-659.233868,-960.143335,480.875726,1721.163998,-98.837531,527.804692
-1.544,-631.543487,-955.792808,497.254043,1732.698946,-87.449928,519.566455
-1.536,-603.818649,-951.706868,509.034563,1720.476042,-81.249788,518.293449
-1.528,-570.991296,-949.782818,517.890565,1733.999401,-73.993594,515.080841
