"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-1.875604,8.268465577,3.864672273,28.21223251,8.861078184,6.465629883,11.44077472
-1.806527,6.4457175,6.682583516,15.95855092,1.054316742,-2.086204244,4.425287372
-1.772368,3.008837373,0.492904735,23.35057961,7.97384729,7.46578522,13.64009549
-1.705389,0.235439667,-1.668251605,11.91631651,7.120699543,5.325665933,10.20565884
-1.671539,2.023086037,-2.12215662,12.53869073,5.629106318,5.639629325,15.84548166
-1.604504,3.27691011,3.305958266,19.52260572,1.334521158,-0.816335493,15.32963564
-1.570858,5.982692067,8.757019178,17.57082074,7.549713041,9.841371918,4.85645472
-1.547412,10.26853737,11.29777345,19.60327748,6.899219837,8.776900002,11.61562328
-1.489449,13.10344899,15.50168458,21.61152404,-2.086520667,-5.416509872,17.99664031
-1.452012,22.9733342,23.84599497,23.66044119,3.308636152,1.658878859,12.20322687
-1.425095,21.57321361,23.72793591,21.81704748,-0.641879609,-5.667875384,18.99619668
-1.349011,19.97694094,21.69431254,23.73480037,-6.713755196,-11.57612357,22.8402083
-1.30763,27.68024019,28.68844216,22.3174657,-8.676429295,-14.79598565,23.52148142
-1.248027,35.95296984,39.18018822,21.21817136,-10.23322577,2.109485825,31.26089774
-1.182507,41.27657515,48.91516217,28.72405904,-16.265552,-24.26556784,33.11931814
-1.135136,54.55002578,62.40577159,35.56832259,-11.79257901,-15.65143093,21.63208171
-1.072501,64.1524476,64.24525777,36.28703994,-11.34935535,-13.27404064,23.48353909
-1.032603,68.8849219,73.6121851,31.08374189,-13.61990117,-15.27411769,23.45383066
-0.976339,69.98030741,76.61406139,38.18132129,-11.67456701,-16.61754397,21.28332886
-0.946114,85.44403012,92.76889905,38.37710707,-9.561037517,-14.91999276,25.69093629
-0.923516,105.5593036,104.8635937,34.8635937,-7.962274936,-10.51615321,30.26073594
-0.877836,104.2969,105.1105904,35.11059043,-1.739616036,-9.835800769,34.7213092
-0.85746,112.2541545,106.3734014,36.37340141,11.05420329,-1.261282642,34.24140953
-0.82103,119.6189268,104.6190239,44.61902391,8.639444513,15.20340526,19.58989282
-0.811489,116.7823581,105.2460384,44.54135618,1.274616291,1.142430776,34.08332541
-0.80379,112.8414566,109.0886199,41.34044665,6.002546968,13.97299574,24.8454596
-0.7894,115.3302875,103.5321117,43.53211172,6.877598002,15.6555403,22.28327368
-0.772027,111.0505795,104.2454507,43.71463035,11.67370504,14.57188027,28.6590654
-0.760147,114.1025097,104.0633607,44.06336075,7.317313238,8.749163543,31.9706549
-0.73932,112.5855818,109.6371163,37.60772513,15.37901355,16.39322748,29.199185
-0.725276,124.4286221,114.9351533,32.39121824,8.59889905,7.356424617,37.11584948
