"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"27.5617746029221","2524.00261799997","4.21488917831814e-07",NA,""
"2","y ~ x ","0.0770305868388298","21.7452704724788","2509.65578177729","2.90137576626321e-11","1.67734120623568e-06","<-lowestAIC"
"3","y ~ a/x + b, (a>=0)","0","25.6469782450625","2515.35357697038","1.71147038957926e-08","0.000623432151049315",""
