"","model","a","b","AIC","p (y=0)","p (y=b)","aiclabel"
"1","y ",NA,"66.428131384082","2587.06439564724","8.10914633786263e-08",NA,""
"2","y ~ x ","0.139805215766674","56.5433680966655","2529.15475783591","2.0321532843377e-21","3.48024665088531e-16","<-lowestAIC"
"3","y ~ a/x + b, (a>=0)","0","65.1039166975945","2558.40140917838","1.79267964555259e-13","3.75593549883178e-08",""
