"time","bx","by","bz","mx","my","mz"
-1.52,-1759.40043,-629.472586,424.412843,1025.816107,99.496743,881.572769
-1.512,-1721.615376,-619.919984,429.234725,992.614913,99.514371,882.432766
-1.504,-1676.575423,-605.957615,427.448331,982.311682,96.859498,882.779419
-1.496,-1655.277695,-600.32763,430.424369,982.311682,96.859498,882.779419
-1.488,-1637.309558,-595.533019,434.107449,961.800309,91.690368,885.271799
-1.48,-1600.658513,-586.190997,438.811205,952.599643,85.08443,885.706093
-1.472,-1567.517498,-577.648314,438.690812,964.712225,79.748259,885.556423
-1.464,-1522.328031,-566.21745,437.489428,974.957884,78.258983,881.100155
-1.456,-1503.160999,-561.166492,438.980678,964.941449,75.575616,879.635985
-1.448,-1475.907876,-551.414416,442.69107,955.229625,73.051784,882.082822
-1.44,-1460.110007,-547.234319,446.045612,966.426584,71.669073,881.830663
-1.432,-1444.129173,-543.006252,449.419831,956.272506,69.088562,882.174825
-1.424,-1428.252541,-538.845466,450.417923,946.071639,66.496159,882.520572
-1.416,-1404.441831,-532.616805,448.936195,947.018658,62.51665,882.615581
-1.408,-1380.419166,-526.223194,448.766402,927.102374,57.426636,885.392799
-1.4,-1347.438025,-515.139391,448.056464,917.900075,51.015112,887.619378
-1.392,-1322.235273,-505.991229,448.733727,929.233732,45.58791,885.39212
-1.384,-1279.203012,-494.992462,451.534488,919.108486,43.043145,885.73153
-1.376,-1222.162393,-480.489199,450.905739,909.22307,40.434088,884.272428
-1.368,-1190.660081,-472.351968,454.789202,910.703312,32.485535,882.380144
-1.36,-1158.31902,-464.05892,461.12789,911.566737,28.519598,882.477187
-1.352,-1117.274334,-453.415918,457.47436,922.536863,27.066023,882.229785
-1.344,-1094.149622,-447.425287,455.262421,934.223442,21.648125,882.083281
-1.336,-1075.348881,-439.83236,453.46415,934.43966,21.574966,880.275731
-1.328,-1051.782977,-433.535705,454.075849,935.27722,17.591913,880.373354
-1.32,-1013.171306,-423.637993,452.062728,946.311402,16.114676,880.121395
-1.312,-968.678897,-412.180213,451.960707,957.753045,10.572868,877.875764
-1.304,-948.545255,-407.006646,452.925456,947.58292,8.088841,878.227573
-1.296,-912.906707,-397.804974,454.366115,958.559556,6.603635,877.974073
-1.288,-892.065619,-389.378081,460.794783,959.35636,2.633102,878.072685
-1.28,-876.615964,-382.253901,464.188057,959.581735,2.559258,876.254994
-1.272,-834.560064,-371.182152,468.00961,959.922905,-1.504765,874.26368
-1.264,-813.144714,-362.35054,476.357854,971.009113,-3.02046,874.001173
-1.256,-775.163172,-352.490973,479.370149,960.702741,-5.508714,874.363438
-1.248,-742.414927,-340.798928,483.334055,971.784759,-7.031552,874.101264
-1.24,-720.357139,-335.101564,481.645172,972.9215,-10.971221,876.296729
-1.232,-669.875978,-321.991502,480.362785,962.87748,-13.505039,874.833165
-1.224,-630.067086,-311.611221,477.898904,963.628081,-17.48219,874.932038
-1.216,-583.740028,-299.538902,474.608373,965.103757,-25.501622,875.132456
-1.208,-536.680465,-283.840479,476.00853,966.539922,-33.525711,875.334114
-1.2,-512.614254,-277.599894,474.212262,957.002872,-39.922885,875.792018
-1.192,-488.503854,-271.250884,472.642962,968.192437,-45.566842,873.549074
-1.184,-445.320717,-259.98051,471.423098,958.531252,-51.998896,874.015439
-1.176,-413.726325,-254.93522,472.136818,969.734181,-53.679669,871.928677
-1.168,-356.422011,-239.95202,470.922016,960.204296,-60.064524,872.392303
-1.16,-343.013014,-236.305419,478.601728,949.89219,-62.459907,872.757894
-1.152,-323.159621,-227.64281,488.324345,972.290122,-69.700663,872.33902
-1.144,-290.250639,-215.51543,495.07896,951.774676,-74.543417,871.249934
-1.136,-263.667949,-204.926059,502.972372,952.461171,-78.536111,871.350211
-1.128,-222.342753,-197.379836,509.247098,943.823951,-92.877478,872.029719
-1.12,-181.243784,-186.528629,510.877798,944.466219,-96.867883,872.131199
-1.112,-153.662416,-175.709196,515.555452,945.785369,-104.952436,870.51657
-1.104,-111.584314,-164.573245,515.763286,946.319049,-108.963765,870.621269
-1.096,-82.834372,-156.964807,518.83533,947.195276,-116.963217,870.835527
-1.088,-68.863034,-149.698555,521.973599,937.397466,-123.152696,873.12462
-1.08,-47.492038,-140.416567,526.103003,937.886194,-127.160686,873.231045
-1.072,-2.822737,-132.060858,529.790365,949.162796,-132.901592,873.079301
-1.064,34.873614,-125.674927,530.741649,938.891416,-139.212323,871.484201
-1.056,64.97111,-117.666696,534.017493,950.554626,-148.962525,871.439404
