"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.386527,1.719915892,3.122445828,16.97118347,1.146202376,-0.23788524,12.16209556
-2.317475,4.384633386,5.847703955,16.55642967,-2.23751431,-1.778834096,10.2211659
-2.273614,-1.841471964,-3.071919613,14.84802201,2.467643022,1.050503261,10.93716629
-2.177779,19.61674072,21.91961577,17.56842586,-2.585662552,-2.758839507,14.60853857
-2.085029,12.23888635,11.99108631,20.39783833,1.760009912,0.994087575,14.00591243
-1.983813,13.5044234,13.38152027,21.76837998,0.333514591,5.961248531,9.038751469
-1.884717,16.50530075,16.25404914,20.9975286,-0.076296394,2.171117972,10.37020399
-1.778195,17.39953503,18.01623679,17.58434853,-0.844708844,-2.044876044,16.66098614
-1.65988,15.36556311,17.7268694,19.38935641,-1.865590441,0.000418661,5.999581339
-1.524274,17.93391691,20.43869934,18.69961866,-2.319355884,-2.535242443,6.19442154
-1.412425,19.09596204,20.59059206,18.04358393,-10.98047399,-16.39481141,18.79279473
-1.30735,19.05754985,22.03955434,20.22556917,-10.91929639,-18.28925673,22.57332488
-1.20172,16.0424429,18.51616879,19.50655845,-10.6207288,-12.54704236,18.95933721
-1.129088,12.36541924,15.19706969,21.48900727,-15.65182789,-19.96977783,23.87332774
-1.07896,6.648122749,8.688838335,22.14731696,-4.391519909,-6.193036463,18.44067612
-1.001101,-12.44000283,-12.82344948,24.80942885,3.908921415,2.532039507,19.47544485
-0.92491,-35.92181312,-39.80954782,22.75395367,-2.883404346,-9.11841936,37.38004746
-0.865543,-46.06984837,-50.91359431,22.74032511,-17.39124692,-26.14736661,37.27858028
-0.832319,-48.59861218,-53.53342796,22.81071211,-11.59648625,-21.91072132,44.52380922
-0.80128,-47.9460407,-53.04786973,22.40211542,-2.673126948,-8.621496053,28.87594914
-0.759954,-48.11600814,-53.55235378,21.72971285,2.814755572,4.7320692,40.75157279
-0.715446,-39.95436531,-49.52672889,25.74465474,18.85539423,27.11272927,34.00129367
-0.680036,-36.39737252,-45.61296352,28.23176836,18.61753403,25.46229787,26.14396636
-0.661676,-28.37806454,-30.98199812,21.30487987,13.69674166,13.12561366,18.96244302
-0.63621,-27.33462524,-25.80076414,24.04147248,8.552266289,9.528625843,20.23791647
-0.612749,-7.265575979,-8.605165066,23.28646194,7.90110795,9.345490489,20.53065296
-0.592785,-3.746052482,-1.032056772,24.90071152,6.40088055,7.985520476,20.66088427
-0.575994,-5.387051622,-4.507314773,23.46094543,3.815183933,3.723005711,21.58533018
-0.555156,5.994243161,4.464021639,24.76142636,-0.4808794,2.632284288,15.72843419
-0.536212,21.56008806,20.95379838,23.4014008,4.058858527,5.03126077,19.84794721
-0.514937,21.88745381,22.32279456,25.35686419,-11.96164078,-3.535982367,14.7553109
-0.495657,21.13413665,21.40090494,19.50993998,-11.27196683,-18.0864445,28.554376
-0.477734,27.8539388,30.66457093,27.70843384,NA,NA,NA
-0.459956,37.20218141,45.12727745,28.60108518,NA,NA,NA
-0.442615,50.79212962,59.57935625,27.03284754,-16.48053158,-19.01073125,35.53248351
-0.425712,49.12072032,57.82212421,27.94323459,-25.92583628,-27.09946168,40.01667205
-0.409537,46.39673488,57.81150499,28.7396698,-8.931268565,-12.37923896,50.61324315
-0.392876,49.87860378,59.25957625,28.08231825,-23.51991328,-31.36968411,25.73782246
-0.377867,60.52499097,69.42792903,25.63006748,-24.75458284,-31.14770071,28.56404839
-0.363003,67.68501327,73.37698574,34.17574958,-23.95896099,-29.22034901,26.4935352
-0.349306,66.88993105,74.33274504,43.88219636,-26.13454833,-29.5235207,29.8886032
-0.336482,61.19884312,66.50394608,38.24232429,-27.29447511,-38.23733081,25.60556014
-0.322785,48.40241582,58.01487228,43.86967611,-38.29040831,-40.94514896,42.56066921
-0.311127,46.61409666,55.99513499,34.90709322,-34.35350884,-37.82480611,24.50573657
-0.300198,66.47489356,72.00115224,30.90188311,-26.11269376,-28.82636676,35.71320713
-0.289807,66.53209308,72.22889964,31.5428429,-23.48473956,-12.26870536,52.77680218
-0.278878,50.05051893,63.33336113,31.57548702,-35.23117046,-18.38621481,37.56256171
