"time","bx","by","bz","mx","my","mz"
-2.16,-2260.27499,-930.1683,560.433271,1454.127321,-136.699821,648.819172
-2.152,-2244.215711,-930.712925,564.380157,1405.089399,-129.189772,653.58223
-2.144,-2225.099025,-930.840089,568.08766,1403.376803,-116.52008,653.303334
-2.136,-2212.081752,-933.809123,573.827627,1401.1968,-99.651186,652.92623
-2.128,-2195.272925,-934.325777,582.172201,1376.834642,-96.117683,652.192784
-2.12,-2182.710245,-939.228826,586.90992,1337.432751,-78.191495,657.980182
-2.112,-2159.914766,-938.91001,590.365665,1383.848945,-68.38569,655.030177
-2.104,-2151.931181,-941.044797,593.843045,1407.334303,-63.424073,653.537549
-2.096,-2143.743242,-943.168243,599.497442,1453.897769,-49.181593,650.447452
-2.088,-2120.431961,-942.746949,602.459145,1428.696318,-41.424173,653.806702
-2.08,-2105.137603,-941.924847,609.292528,1474.754576,-22.740542,650.626892
-2.072,-2093.820289,-943.646752,612.636667,1546.572453,-2.691602,650.212393
-2.064,-2069.408908,-943.125406,621.061081,1507.041045,2.284136,654.373486
-2.056,-2056.74678,-942.558923,631.0286,1468.614933,7.148928,656.38281
-2.048,-2040.147695,-939.665117,638.87842,1492.283488,16.779383,656.931723
-2.04,-2030.108829,-937.91386,643.62554,1490.657769,25.437864,661.003507
-2.032,-2010.80352,-936.499865,650.211849,1438.57769,31.796913,667.812665
-2.024,-2003.888586,-935.300136,654.54304,1423.670474,46.111954,670.338809
-2.016,-1990.282986,-932.983157,660.0957,1446.824189,55.80206,670.94012
-2.008,-1980.027643,-931.245138,664.059351,1433.093851,61.522077,671.510101
-2,-1974.581383,-933.928936,669.07401,1430.046557,74.141956,671.300517
-1.992,-1961.513593,-933.532574,675.61124,1425.993743,91.080063,675.215932
-1.984,-1938.399383,-931.528789,680.798456,1408.431408,105.155009,681.924518
-1.976,-1897.609267,-928.718882,692.990333,1393.570247,114.934854,682.41639
-1.968,-1869.012262,-923.964472,701.349399,1416.69144,120.493809,681.044263
-1.96,-1840.396394,-921.290645,711.35611,1439.872438,126.067261,679.668584
-1.952,-1810.953988,-916.525967,718.066311,1372.524826,145.719999,693.006459
-1.944,-1795.088362,-911.630136,728.000816,1406.877806,154.179073,691.016642
-1.936,-1780.013795,-909.123348,733.037737,1478.267851,171.606202,691.165395
-1.928,-1764.673249,-906.569351,739.306031,1429.93293,168.61546,695.800196
-1.92,-1753.400036,-904.537725,744.394861,1377.694078,173.856856,702.371171
-1.912,-1731.551356,-905.045533,753.516979,1365.125914,175.142328,702.952275
-1.904,-1719.591209,-902.971912,761.299437,1364.517238,175.144347,705.039509
-1.896,-1705.465305,-894.235168,768.762543,1362.131227,183.527807,709.071668
-1.888,-1685.722059,-890.973908,774.996093,1367.045177,211.479639,712.225321
-1.88,-1655.554222,-879.437694,786.827519,1433.742447,233.353341,714.699201
-1.872,-1640.948464,-870.421456,795.759211,1422.375456,234.815181,719.417054
-1.864,-1631.069691,-864.165374,806.010444,1454.943262,252.365817,723.744463
-1.856,-1624.598649,-856.501947,811.125019,1442.584468,253.656087,726.38353
-1.848,-1583.343468,-849.2902,826.705896,1476.82986,262.707753,726.684057
-1.84,-1571.055677,-847.038122,832.381117,1469.689449,279.377656,730.715516
-1.832,-1556.22497,-839.722694,848.718467,1453.499696,288.912097,735.365273
-1.824,-1518.00643,-833.059824,860.78586,1451.406452,297.484259,741.538116
-1.816,-1505.036766,-830.723053,867.064555,1462.896034,300.554167,740.962808
-1.808,-1490.439559,-823.514851,875.72031,1409.463256,304.763202,747.271379
-1.8,-1463.811073,-816.531147,883.702166,1411.090473,305.053619,751.40055
-1.792,-1449.292495,-809.342832,889.762055,1359.625822,309.233326,753.395088
-1.784,-1438.236967,-800.181612,902.723138,1367.027305,316.065924,750.790974
-1.776,-1415.729711,-793.847301,907.531705,1364.791035,324.52429,756.886262
-1.768,-1382.747651,-783.161535,919.527469,1388.753997,330.970844,759.916736
-1.76,-1373.574925,-781.41158,925.106971,1362.392015,332.946706,762.982805
-1.752,-1362.339565,-772.192372,932.870256,1371.241915,340.102279,764.503243
-1.744,-1347.506376,-764.683605,938.189151,1371.221469,344.466999,768.550228
