"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.964809,8.506185467,14.17720698,34.79158436,5.610667174,4.137968279,10.65353144
-2.863176,9.957231948,7.462217412,24.20683551,5.051262684,3.563563198,12.5015833
-2.762187,11.87037402,14.94002295,28.37165057,3.532767915,2.000407303,14.31624702
-2.654283,6.317553922,0.414033752,23.70943946,0.712016589,0.083971226,16.55436435
-2.536414,0.95397127,0.709314911,24.29472989,3.326838474,-0.640039717,19.60194558
-2.407077,5.184762084,3.018246181,29.14635579,5.827182952,6.687447561,11.80090301
-2.276687,9.74190035,10.17605842,26.29746312,5.765843535,6.721621044,13.24848715
-2.151348,-5.636014533,-9.763929629,29.53659441,5.596058879,6.73235077,17.16640605
-2.043634,2.455894523,2.291531317,24.56518999,5.333562059,9.475062143,18.44108221
-1.991007,1.886512577,1.277933236,26.81211799,4.193843198,10.72911106,24.15671824
-1.934576,9.833485089,6.75646695,26.10965214,7.216742553,14.65516821,21.96340325
-1.876717,14.56116299,12.55436258,25.73547446,5.298900381,18.50872617,29.89569396
-1.838392,15.26176279,13.26192122,21.82046853,3.653159466,5.479571269,10.35898848
-1.812771,16.95017428,18.29496706,22.33099098,4.261821817,11.83459768,17.66410225
-1.788716,17.75417224,16.72676384,23.67359086,1.921904577,4.083523073,11.89082757
-1.763106,9.079136195,7.940888,29.08496202,-4.559740673,-3.132797487,15.55337167
-1.73826,6.793008173,9.301782264,20.67606677,-4.54323994,-11.73152929,27.16651356
-1.691548,12.80044658,13.65986419,28.36746592,-3.135297946,-3.928375402,22.03941233
-1.666972,4.602362363,9.531488592,31.25024033,-5.805250846,5,35
-1.642043,2.789755679,5.425007344,34.47383186,-3.747896645,-4.200468831,23.7831248
-1.598491,12.71518601,18.56086371,30.20520763,-10.66390812,-9.645050286,20.87786553
-1.577587,12.09148716,20.81068536,39.55818217,-4.747566225,-4.060577577,19.19663076
-1.555878,8.325669239,10.38739316,36.16025248,-15.70864452,-12.35768481,17.81283433
-1.528435,11.64257165,14.34336087,28.98820152,-5.516044167,-5.168156753,19.08362454
-1.510909,9.494290733,13.98923763,32.07671684,-7.628544798,-5.784040778,18.16055286
-1.489976,10.20639192,15.8692087,33.99469191,-5.602755535,-1.218081137,17.59956214
-1.470678,2.697796521,4.341125329,37.09148001,-11.85251014,-11.45762163,20.8793211
-1.451712,-7.282431822,-1.191377799,42.60946917,-11.96239578,-11.52231623,25.48200815
-1.420805,-9.716228775,-14.46880606,27.22556676,-7.808317274,-7.881864853,24.69543367
-1.386302,-7.837143179,-0.429862166,43.31596406,-13.50316812,-11.68116532,24.7946502
-1.365981,-11.39656039,-5.620972735,39.26790277,-12.74520035,-10.16597506,26.76640306
-1.34519,-19.96412471,-11.99233529,23.48870183,-15.89206123,-13.57243758,24.40073012
-1.326723,-22.6108455,-21.25573838,29.43600748,-14.72669669,-8.622303308,31.03077538
-1.288217,-37.23138593,-33.42345713,26.28052545,-25.63123034,-5.858477062,37.31544652
-1.270303,-50.27756636,-44.56916447,23.77628304,-23.57423914,-6.868180829,36.86818083
-1.248508,-60.00182989,-52.80562284,26.95207913,-20.52780332,-7.364821302,37.3648213
-1.230107,-68.89301906,-60.46444514,33.00901746,-21.09263862,-7.857252199,37.8572522
-1.213727,-66.40505583,-65.46787506,29.92089006,-23.09467821,-9.767927602,36.08622869
-1.197716,-78.93808229,-79.47840803,32.11597496,-25.52674174,-12.95528315,37.95528315
-1.180543,-76.73520956,-75.36174533,40.79584629,-26.23486707,-13.26715847,38.26715847
-1.163497,-84.39611602,-84.97522063,27.54863646,-22.56233114,-13.99115415,33.99115415
-1.150538,-83.44404442,-84.0955358,42.71815814,-24.89681005,-16.05412041,36.05412041
-1.132503,-82.51842526,-78.97426126,30.60369888,-28.88956534,-13.78386051,39.54454265
-1.117554,-82.01553389,-81.43316443,35.62894372,-29.68712933,-14.97712836,39.97712836
-1.102509,-84.76068884,-88.38372117,27.15340618,-31.36289518,-17.15931551,42.15931551
-1.087125,-80.36622637,-79.40904867,34.37167071,-34.67375078,-15.41383906,44.36268041
-1.071824,-83.60896685,-82.93006355,30.25652719,-30.93670498,-22.48629223,37.48629223
-1.056843,-81.20854507,-72.6199393,25.09852485,-38.43089883,-28.73528542,33.34363888
-1.043452,-82.06431132,-82.34691587,33.84165883,-47.10752853,-38.79292525,30.0554591
-1.028931,-86.74318212,-86.33557677,32.41619455,-53.08101573,-45.26241312,25.05515911
-1.016347,-89.11363059,-103.3405902,24.25957555,-56.60757488,-50.22749112,28.33926934
-1.00321,-95.06124172,-105.9156167,34.91429316,-61.63256184,-55.80801557,29.73039506
-0.991407,-100.1484587,-108.3722562,29.03550789,-62.91196551,-56.92574678,31.37979779
-0.980679,-98.25083885,-105.2241564,18.42243958,-59.99667931,-53.05955043,36.97469423
-0.969782,-93.55363818,-101.4231351,22.03964701,-66.49471673,-61.78382886,33.81279368
-0.959469,-96.03824937,-102.815559,22.85868895,-61.65525293,-49.22551938,26.40286393
