"time","bx","by","bz","mx","my","mz"
-2,-1973.2283,-338.819009,317.536181,1074.787502,190.385668,655.43626
-1.992,-1917.32646,-326.176114,311.123553,1054.833395,180.642404,654.793336
-1.984,-1889.198103,-325.751857,313.271485,994.75256,155.904742,657.127303
-1.976,-1867.011247,-324.974977,317.060683,984.367983,153.208218,659.674594
-1.968,-1838.950709,-317.682259,317.801087,985.478935,149.228103,659.734855
-1.96,-1813.563594,-313.670305,316.336125,956.199533,137.06631,660.115384
-1.952,-1776.683725,-315.307955,319.851253,937.186241,127.745781,661.589987
-1.944,-1766.641994,-314.087718,322.369678,928.251058,121.047632,660.553193
-1.936,-1749.699657,-313.181925,324.297342,908.104039,115.725041,661.974904
-1.928,-1718.355496,-311.838971,335.292755,909.220466,111.743334,660.234081
-1.92,-1701.010527,-310.595487,340.013884,933.748603,101.207092,659.040977
-1.912,-1683.818809,-307.095135,342.241478,944.980314,99.87406,658.38284
-1.904,-1669.633483,-304.522543,348.743489,925.734998,90.660342,659.878703
-1.896,-1644.418069,-305.685923,355.825477,948.059227,87.964726,658.572061
-1.888,-1621.969787,-303.586996,361.37537,950.201554,80.009737,658.693104
-1.88,-1596.969963,-299.892366,363.890454,941.015859,73.411722,659.477527
-1.872,-1578.35192,-296.451764,365.811523,931.583182,66.78929,658.158869
-1.864,-1548.411304,-291.354664,374.484064,933.307549,58.7206,654.379142
-1.856,-1537.248855,-287.770341,374.458192,924.112024,52.166942,655.172733
-1.848,-1499.529708,-278.076497,373.934648,925.060915,48.185292,655.240799
-1.84,-1468.788487,-272.945533,375.634946,895.776163,36.572912,655.667587
-1.832,-1430.246552,-263.002439,370.508466,921.337821,17.746323,652.832194
-1.824,-1405.873176,-262.91988,371.277896,932.303991,16.277629,652.17755
-1.816,-1378.047385,-253.772196,372.072089,902.778688,4.818466,654.433508
-1.808,-1349.062168,-249.686163,374.312529,914.652011,-0.647392,653.848773
-1.8,-1315.573299,-243.949886,379.958447,905.839867,-11.147018,652.647437
-1.792,-1303.003064,-239.694865,384.100122,909.042624,-27.043254,652.952438
-1.784,-1281.710594,-233.010304,384.87047,899.552135,-33.386409,655.576902
-1.776,-1264.800446,-227.346326,388.318138,901.103268,-41.307609,655.73298
-1.768,-1238.979188,-219.064865,389.780719,903.269464,-53.333791,654.168768
-1.76,-1226.565312,-211.949671,392.858411,893.893029,-59.72172,653.166123
-1.752,-1187.532154,-199.268458,390.926731,916.827078,-70.93162,652.043403
-1.744,-1161.288137,-190.740406,387.495631,928.058215,-76.631297,649.400292
-1.736,-1134.541653,-181.934128,388.085834,951.16334,-87.942674,648.26379
-1.728,-1120.98858,-177.471879,388.37569,952.286869,-95.950751,648.448562
-1.72,-1093.659794,-168.663771,387.276105,953.849714,-108.089281,646.63343
-1.712,-1075.291904,-162.554894,388.245255,954.957228,-116.118224,646.820621
-1.704,-1037.400616,-153.076972,389.970224,977.546494,-127.711871,643.611448
-1.696,-1013.29821,-148.134293,390.192765,968.583906,-142.07457,644.665405
-1.688,-998.948771,-143.354803,391.992619,969.201828,-150.235922,642.785822
-1.68,-963.922634,-137.849501,396.108854,981.023885,-160.053167,642.326436
-1.672,-943.883737,-134.395837,395.67169,992.81901,-169.967674,641.871994
-1.664,-923.41694,-130.716123,399.49251,993.64842,-178.136051,640.229724
-1.656,-897.417012,-128.329333,401.320849,962.291294,-184.76371,642.521846
-1.648,-861.112177,-122.934225,396.954207,984.547172,-200.788864,635.510249
-1.64,-825.331696,-111.553349,392.469508,995.802156,-206.736754,633.090833
-1.632,-771.004266,-103.655885,392.70391,996.713418,-214.788513,635.396524
-1.624,-742.79382,-100.959259,397.144504,975.586761,-219.12233,636.956423
-1.616,-714.831039,-95.323558,400.031638,965.560301,-225.355465,635.982632
-1.608,-691.425271,-94.268214,404.083755,955.271849,-231.522553,636.876548
-1.6,-644.098771,-92.45977,405.900107,966.741777,-241.352808,640.363405
-1.592,-596.533096,-87.45804,408.010118,977.826703,-247.316859,639.814994
-1.584,-572.191843,-86.483365,407.607436,1010.558983,-261.272899,638.077523
-1.576,-534.379865,-88.104611,408.510433,1010.742068,-265.345566,638.196865
-1.568,-521.147185,-90.609572,411.482574,1021.615126,-275.510218,635.693518
-1.56,-500.882527,-94.628404,413.059197,1021.84625,-279.573281,635.809803
-1.552,-474.010648,-99.792947,417.425058,1022.151929,-287.800641,634.183126
-1.544,-459.796009,-105.513988,420.482154,1022.047954,-295.986473,632.35245
-1.536,-432.348113,-110.846065,424.647102,1033.175521,-306.173254,631.928694
-1.528,-391.374258,-119.094666,424.39639,1043.681918,-312.359929,629.309686
-1.52,-370.689068,-123.494426,419.918435,1043.681918,-312.359929,629.309686
-1.512,-329.447302,-128.765741,417.904434,1054.171723,-318.52901,628.572373
-1.504,-300.884581,-134.35464,420.761874,1086.818878,-324.693686,628.446989
-1.496,-272.833183,-136.74243,422.172475,1097.540454,-326.704605,629.686526
-1.488,-237.146106,-140.755769,420.740695,1141.572636,-331.08063,624.721367
-1.48,-192.723932,-149.438061,424.91004,1141.249601,-331.011247,626.655863
-1.472,-148.007026,-158.321811,424.691393,1163.728374,-331.097328,625.140602
-1.464,-125.27563,-162.81429,425.32756,1163.360287,-331.0278,627.084916
-1.456,-102.219136,-167.118546,431.018527,1174.659533,-328.985277,626.257257
-1.448,-94.261336,-168.53266,434.933,1185.909369,-331.097178,625.57143
-1.44,-70.970783,-172.979065,438.921996,1219.556093,-333.252862,625.321042
-1.432,-55.432187,-175.996388,440.505142,1231.03854,-335.400499,624.624567
-1.424,-24.23061,-182.263087,440.13074,1253.586882,-335.443329,625.067696
-1.416,22.946665,-191.735791,438.286009,1265.217817,-333.379127,624.223935
-1.408,71.02056,-201.282103,438.223387,1287.963311,-333.381607,624.670201
-1.4,103.64934,-207.679849,439.918418,1299.718494,-331.30274,623.821171
-1.392,128.434308,-212.415311,444.110693,1310.848126,-329.162379,624.979195
-1.384,169.983154,-220.567333,446.595717,1312.339079,-324.77246,629.115725
-1.376,203.677668,-227.213041,448.143874,1313.029903,-320.434711,631.117611
-1.368,221.235473,-234.045495,453.178963,1301.237559,-318.2888,631.812595
-1.36,246.914548,-239.022232,455.906376,1313.030939,-316.179652,630.975816
-1.352,273.376208,-247.537014,462.247027,1325.053267,-313.908896,634.28546
-1.344,299.39001,-252.516903,466.937437,1325.040546,-309.646327,634.144476
-1.336,325.183748,-250.296467,471.233105,1336.82217,-307.531115,633.315854
