"time","peakdirectionH","cobH","widthH","peakdirectionV","cobV","widthV"
-2.395455,-4.378829326,-4.11603265,14.92226906,-0.497997241,-2.086302265,8.562577841
-2.370828,-13.10715184,-13.8095939,18.09467665,2.551290551,2.53333332,11.21963012
-2.342996,-9.41755422,-10.84347442,18.09182517,3.377329043,2.496541519,11.36426146
-2.302012,-8.230054431,-6.916975441,14.85866541,0.212216569,-1.099722556,7.629441832
-2.24561,0.87938206,-0.542660323,19.24667315,2.203289136,-0.10887622,10.40888531
-2.215009,-3.102297428,-2.05554492,17.41910282,5.719548831,4.997321482,12.00267852
-2.125354,6.774964211,5.47681668,19.72269366,7.134635397,6.78842429,10.21157571
-2.029745,3.536023752,1.456780821,22.49529578,8.804427637,17.91912773,13.28357261
-1.917152,8.371636283,9.958111829,14.68117721,4.849509499,4.814427944,15.20058553
-1.802164,8.613680112,13.59103344,12.27447575,3.625616299,2.485901302,16.10190703
-1.693,4.55651632,5.869598433,19.34305042,6.902058907,6.224422018,16.78687571
-1.582594,-4.311185597,-6.384639039,25.4311161,6.170614531,6.643422057,16.00015848
-1.471037,-7.039347401,-6.800106556,30.33668045,10.39285139,12.01531743,19.06516919
-1.410157,-3.315302768,-3.794244962,30.00916175,7.593719975,7.903966192,22.5073945
-1.355513,-2.349873049,-2.658474554,25.89308828,12.75871368,14.17189113,21.82030451
-1.29625,-2.381825861,-1.115924347,25.29312327,6.501955441,4.98783835,17.99253399
-1.253555,2.155092407,2.956972636,25.25307877,11.39672594,15.84004887,20.85874201
-1.229802,5.394916491,5.114337842,26.30890467,9.436809831,9.047856511,17.20222006
-1.185484,6.76318761,7.148958827,26.47110014,5.052465037,3.318331278,19.33784299
-1.160129,3.867457739,4.343936154,26.72394644,6.608961508,2.27925731,17.19414781
-1.136959,6.345915371,6.42676068,24.5340439,8.952016814,12.90689269,20.58605289
-1.115101,13.15378767,12.93759676,26.85932058,10.5916337,17.45921406,24.166805
-1.094087,16.84916908,17.7216874,23.59225116,10.13421324,16.57128019,24.15346766
-1.074998,15.49340947,16.5662352,24.25593424,14.03007144,4.206332336,27.06809976
-1.055908,19.17506075,21.33115474,23.3612335,11.44926816,15.43373811,23.54731869
-1.038131,18.7935631,20.19118149,25.94036985,10.63837466,15.88397821,23.66887156
-1.019624,24.24940668,25.81363169,24.77209715,19.45431277,25.53034451,26.58934099
-1.002288,19.88638838,21.69470172,25.45612337,19.26117608,25.10174575,30.32022607
-0.987827,25.60087818,30.07665415,29.39410419,20.40682636,25.41044481,27.44141373
-0.972526,26.7105749,28.60114387,30.05909185,17.93393037,21.57231861,18.74411686
-0.958246,28.55249687,34.24971887,30.86419538,20.49322716,28.5299342,25.10338149
-0.94484,30.93626721,36.69194625,34.09149168,22.13297817,25.03203191,31.20541179
-0.931433,42.19359085,54.42821702,37.01785793,18.69290969,28.34285419,41.65714581
-0.91861,42.61658552,52.61667567,35.27216005,16.33923008,25.58796122,44.41203878
-0.906953,50.79532835,59.35424801,32.51631645,-7.967804869,-33.70354874,51.34070972
-0.896315,51.14192409,60.21822525,31.31648592,-1.478765503,-3.092372706,22.32677609
-0.886357,50.71033415,59.14996769,36.96092156,7.11383957,8.744261553,27.87639081
